name,type,location,website,source
"Lagane Family Office","Family Office","Geneva, Switzerland","l-fo.ch","folk-european-family-offices-founders"
"Octogone Family Office","Family Office","Geneva, Switzerland","octogone.ch","folk-european-family-offices-founders"
"SandAire","Family Office","London, United Kingdom","sandaire.com","folk-european-family-offices-founders"
"TFO Family Office","Family Office","Bensheim, Germany","tfo.de","folk-european-family-offices-founders"
"Stonehage Fleming","Family Office","Zurich, Switzerland","stonehagefleming.com","folk-european-family-offices-founders"
"Salsano Family Office","Family Office","London, United Kingdom","salsanofamily.com","folk-european-family-offices-founders"
"Grazia Equity","Family Office","Stuttgart, Germany","grazia.com","folk-european-family-offices-founders"
"Capital Generation Partners","Family Office","London, United Kingdom","capgenpartners.com","folk-european-family-offices-founders"
"Londinium Family Office","Family Office","Dublin, Ireland","londinium.ie","folk-european-family-offices-founders"
"Beacon Capital - London based tech VC","Family Office","London, United Kingdom","beaconcapital.co.uk","folk-european-family-offices-founders"
"Gaydoul Group","Family Office","Friesbach, Switzerland","gaydoul-group.ch","folk-european-family-offices-founders"
"SMC Trust Office","Family Office","Ascona, Switzerland","smctrust.ch","folk-european-family-offices-founders"
"Murray Family Office Limited","Family Office","St Helier, Jersey","","folk-european-family-offices-founders"
"de Pury Pictet Turrettini & Sie","Family Office","Geneva, Switzerland","ppt.ch","folk-european-family-offices-founders"
"Rancilio Cube","Family Office","Milano, Italy","ranciliocube.com","folk-european-family-offices-founders"
"Cabiedes & Partners","Family Office","Madrid, Spain","cabiedesandpartners.com","folk-european-family-offices-founders"
"bfu","Family Office","Koblenz, Germany","bfu.de","folk-european-family-offices-founders"
"IHAG Holding","Family Office","Zurich, Switzerland","ihagholding.ch","folk-european-family-offices-founders"
"EQT Ventures","Family Office","Stockholm, Sweden","eqtventures.com","folk-european-family-offices-founders"
"1875 Finance","Family Office","Geneva, Switzerland","1875.ch","folk-european-family-offices-founders"
"Panthera Private Office","Family Office","London, United Kingdom","panthera.co.uk","folk-european-family-offices-founders"
