Name,Entity Type,Role/Authority,Managed AUM,Check Min (USD),Check Max (USD),Check Size,LinkedIn
Madhavi Jain,Private Fund of Funds,Managing Partner / GP,$50M-$200M,500000,3000000,$500K – $3M,https://www.linkedin.com/in/madhavinadejain
Marc Held,Private Capital,Principal,Undisclosed,50000,1000000,$50K – $1M,https://www.linkedin.com/in/mheld
Marcus Heurlin Lunding,Institutional Investor,Director / Investment Officer,Undisclosed,,,,https://www.linkedin.com/in/marcuslunding
Margeaux Doremus,Single Family Office,Lead Allocator / Principal,Undisclosed,10000,500000,$10K – $500K,https://www.linkedin.com/in/margeauxdoremus
Mark Cook,JLL / Multi-Family Office,Lead Allocator / Principal,$1B+,1080000,5400000,$1.1M – $5.4M,https://www.linkedin.com/in/mark-cook-79b3b0
Mark Masterson,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/mark-masterson-40bb806
Mary Berg,Private Capital,Principal,$50M-$200M,1000000,5000000,$1M – $5M,https://www.linkedin.com/in/maryhylo
Matias Sueldo,Single Family Office,Lead Allocator / Principal,Undisclosed,100000,3000000,$100K – $3M,https://www.linkedin.com/in/matias-a-sueldo
Matthias Hille,Private Fund of Funds,Managing Partner / GP,$50M-$200M,50000,2000000,$50K – $2M,https://www.linkedin.com/in/matthiashille
Mayura Garg,Single Family Office,Lead Allocator / Principal,Undisclosed,,,,https://www.linkedin.com/in/mayuragarg
Melih Herman Simon,Single Family Office,Lead Allocator / Principal,$50M-$200M,1000000,2000000,$1M – $2M,https://www.linkedin.com/in/melihherman
Michael Nolan,Single Family Office,Lead Allocator / Principal,$50M-$200M,1000000,5000000,$1M – $5M,https://www.linkedin.com/in/michael-nolan-01a2432
Michael Parmar,Single Family Office,Lead Allocator / Principal,$50M-$200M,100000,1000000,$100K – $1M,https://www.linkedin.com/in/michael-parmar-b4890395
Michael Yiin,Single Family Office,Lead Allocator / Principal,Undisclosed,100000,100000,$100K,https://www.linkedin.com/in/michael-yiin-scnesgchampion
Michel Leitz,4FOX Management,Lead Allocator / Principal,$50M-$200M,1080000,5400000,$1.1M – $5.4M,https://www.linkedin.com/in/michel-leitz-747201121
Miguel Garcia Castillo,Corporate Venture/Treasury,Head of Strategic Investing,$50M-$200M,,,,https://www.linkedin.com/in/mgarcast
Mike Sigal,Private Capital,Principal,Undisclosed,5000,50000,$5K – $50K,https://www.linkedin.com/in/mikesigal
Mildred S,Single Family Office,Lead Allocator / Principal,Undisclosed,5000,1000000,$5K – $1M,linkedin.com/mimi-i
Misha Kryukov,Single Family Office,Lead Allocator / Principal,Undisclosed,0,10000000,$0 – $10M,https://www.linkedin.com/in/mikhail-kryukov
Mishack Osadebe,Corporate Venture/Treasury,Head of Strategic Investing,Undisclosed,500000,500000,$500K,https://www.linkedin.com/in/mishack-osadebe-917178131
Mona Ali,Private Capital,Principal,Undisclosed,10000,100000,$10K – $100K,https://www.linkedin.com/in/muna-ali
